Location,Gender,Marital Status,Age years,Level of Education,Employment Status,Household Size,Have you ever used a POS,Do you own/operate a POS,Section B [The convenience of using POS],Section B [Choosing POS over other Payment/Withdrawal Technologies],Section B [Speed of transaction of POS],Section B [POS merchant service delivery],Section B [Easily accessiblility of POS],Section B [Security of POS Transaction],Section C [Lack of Security],Section C [Questionable Integrity],Section C [High Cost of maintenance of POS],Section C [High charges on transactions],Section C [There is often Network Problem],Section C [Unreliable Service],Section D [Safe to use POS],Section D [There is high level of integrity in POS],Section D [People have no knowledge of POS],Section D [Technology adequacy],Section D [Limited number of POS],Section D [Lower chargw],Section D [Volume of Cash to be withdrawn/pay],Section D [Speed of tr],Section D [Security of POS ],Section D [Reduction in stress of carrying huge fash],Section D [Ease of use],Section D [Convenience],Section D [Reduction in bank trips],Section D [Resolves chan],Section D [Skill requirements],Section D [Proper documentation/recipt]
Oshogbo,Female,Married,31 - 40,"Bsc. MSc, PhD",Employed,1 - 4,1,0,4,2,2,3,4,3,0,2,0,2,2,2,4,3,2,4,4,2,4,3,3,4,4,4,4,4,4,4
Alekuwodo Osogbo,Female,Married,31 - 40,"Bsc. MSc, PhD",Self,1 - 4,1,0,3,3,4,3,3,1,2,2,0,0,0,0,4,3,3,4,3,5,3,5,3,4,4,4,5,5,4,4
"Fakunle Area, Osogbo Osun State",Male,Divorced,31 - 40,"Bsc. MSc, PhD",Employed,Greater than 9,1,0,4,3,4,4,4,4,9,9,9,9,9,9,4,4,2,4,2,1,9,4,9,9,4,4,4,2,4,4
Offatedo Area,Female,Single,21 - 30,"Bsc. MSc, PhD",Self,Greater than 9,1,0,2,3,3,3,4,2,2,0,9,0,0,0,4,5,4,3,5,4,4,4,4,5,5,5,4,4,4,5
Alekuwodo,Male,Married,51 - 60,"Bsc. MSc, PhD",Self,1 - 4,1,0,4,3,4,4,4,3,2,1,1,2,2,0,2,2,4,2,4,2,2,4,2,4,4,4,4,4,4,4
Alekwodo,Male,Married,31 - 40,"Bsc. MSc, PhD",Self,5 - 9,1,0,4,3,5,4,5,3,2,1,0,2,0,0,4,3,2,3,3,2,3,4,3,5,5,5,5,5,5,5
Alekuwodo,Male,Single,31 - 40,"Bsc. MSc, PhD",Self,1 - 4,1,0,5,5,5,4,5,5,1,0,2,2,2,1,5,5,4,5,4,2,2,5,3,5,5,5,5,5,5,5
Alekuwodo,Female,Married,51 - 60,"Bsc. MSc, PhD",Self,Greater than 9,1,0,4,4,4,4,4,4,0,0,0,2,0,2,4,4,4,4,5,4,2,4,4,4,4,4,2,2,4,4
Alekuwodo,Female,Single,21 - 30,"Bsc. MSc, PhD",Self,1 - 4,1,0,4,4,4,2,3,1,2,2,0,2,2,2,4,4,2,9,1,2,1,4,1,1,4,4,4,4,2,4
Fakunle,Female,Single,31 - 40,Primary School,Self,1 - 4,1,0,4,3,4,3,4,2,2,0,2,0,2,2,2,5,2,4,1,2,4,4,3,4,5,3,5,5,3,4
Osogbo,Female,Married,21 - 30,"Bsc. MSc, PhD",Self,1 - 4,1,0,4,4,5,5,5,2,2,0,1,0,0,0,4,4,2,3,3,1,3,4,3,4,3,2,2,3,3,1
Alekuwodo Osogbo,Male,Married,41 - 50,"Bsc. MSc, PhD",Retired,5 - 9,1,0,4,3,4,3,4,3,0,2,0,0,2,2,2,2,2,2,1,2,2,2,2,4,4,4,4,4,2,4
Osogbo ,Male,Married,41 - 50,"Bsc. MSc, PhD",Employed,1 - 4,1,0,9,9,9,9,9,9,2,1,0,2,1,1,4,3,3,4,3,3,4,5,3,4,4,4,4,4,3,3
"Behind First Bank, Aregbe",Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,5 - 9,1,0,2,1,1,2,2,1,2,2,0,0,0,2,1,2,3,3,4,4,3,1,1,1,2,1,1,1,1,2
Osogbo ,Male,Married,41 - 50,"Bsc. MSc, PhD",Employed,1 - 4,1,0,4,2,5,3,5,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Fakunle Oshogbo Osun State,Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,0,5,5,4,4,4,5,0,1,1,1,2,0,4,4,2,2,2,4,2,3,5,1,3,2,3,5,2,3
Fakunle Oshogbo Osun State,Female,Single,Less than 20,Secondary Sc,Self,1 - 4,1,0,4,3,4,3,4,3,0,2,0,2,2,0,4,4,2,4,3,4,4,4,3,4,4,4,4,3,4,4
 Oshogbo,Male,Single,21 - 30,No formal,Self,1 - 4,1,0,5,4,4,4,4,4,0,9,2,2,0,0,2,2,2,2,4,2,9,4,4,4,4,4,4,4,4,4
Fakunle Oshogbe,Female,Married,31 - 40,"Bsc. MSc, PhD",Self,5 - 9,1,0,4,3,3,3,4,3,2,2,1,2,0,2,4,2,2,3,4,3,4,3,4,4,4,4,4,2,4,3
Osun Mall,Male,Married,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,0,4,4,4,4,4,4,2,0,0,0,2,2,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4
Osun Mall,Male,Single,21 - 30,"Bsc. MSc, PhD",Employed,Greater than 9,1,0,4,5,4,5,5,5,0,0,0,2,2,2,5,5,1,4,1,1,5,5,5,5,5,4,4,4,4,4
Alekuwodo,Female,Married,31 - 40,"Bsc. MSc, PhD",Self,1 - 4,1,0,5,4,5,4,4,4,1,9,1,0,0,2,4,4,4,5,2,4,4,5,4,4,5,5,5,4,4,5
Fakunle Area,Female,Single,Less than 20,Secondary Sc,Employed,1 - 4,1,0,3,1,2,3,4,3,0,2,2,1,1,1,5,4,1,4,2,3,4,4,4,4,4,4,4,4,4,4
Osogbo,Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,5 - 9,1,0,4,2,4,3,5,3,2,2,1,2,2,0,3,2,2,4,2,2,2,4,2,4,4,4,4,2,2,2
Osogbo,Male,Married,41 - 50,"Bsc. MSc, PhD",Self,Greater than 9,1,0,4,5,4,4,4,3,2,2,1,2,2,2,4,9,1,4,2,2,2,2,3,2,5,4,4,4,1,5
osogbo,Female,Married,31 - 40,Secondary Sc,Self,1 - 4,1,0,3,3,3,5,9,3,2,0,1,0,9,1,4,2,4,4,2,3,4,4,4,4,4,4,4,4,4,4
fabule osogbo,Male,Married,31 - 40,"Bsc. MSc, PhD",Self,1 - 4,1,0,4,4,4,3,3,2,0,2,0,0,2,2,2,3,4,2,2,4,5,5,3,5,4,4,5,2,2,4
osogbo,Female,Single,21 - 30,"Bsc. MSc, PhD",Self,5 - 9,1,0,3,3,5,3,5,5,0,0,0,2,2,2,5,5,3,5,5,3,5,5,5,3,5,5,5,3,5,5
Osogbo,Female,Married,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,0,5,5,4,4,4,2,2,1,0,0,0,0,4,2,2,9,2,4,5,4,4,5,5,5,5,5,1,4
Akinlade Junction,Female,Single,41 - 50,Secondary Sc,Self,1 - 4,1,0,4,2,4,4,4,4,2,2,0,2,2,2,2,2,4,4,4,2,4,4,2,3,4,4,4,4,3,4
Osogbo,Female,Single,21 - 30,"Bsc. MSc, PhD",Self,5 - 9,1,0,5,2,4,4,4,4,0,0,1,0,0,0,4,4,1,4,4,2,2,4,4,2,4,4,4,2,2,4
Oke Oniti,Male,Single,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,0,4,4,4,4,5,2,2,2,0,0,2,2,4,3,1,4,2,2,2,4,2,4,4,4,4,2,2,4
"Oshogbo, Fakunle",Male,Single,21 - 30,Secondary Sc,Self,1 - 4,1,1,4,5,4,4,5,2,0,2,0,0,2,2,4,4,1,3,4,4,5,4,4,4,4,3,4,4,4,4
Fakurle Oshogbo,Male,Single,31 - 40,Secondary Sc,Employed,1 - 4,1,1,3,4,4,4,4,1,2,0,0,2,2,2,2,9,2,4,4,4,4,4,2,4,4,4,4,4,4,4
"Aregbe, Oshogbo",Female,Single,Less than 20,Secondary Sc,Employed,Greater than 9,1,1,4,4,4,4,5,4,0,9,0,0,0,2,4,4,2,2,2,5,4,4,3,4,4,4,4,3,4,4
"Osun mall, Osogbo",Male,Single,21 - 30,Secondary Sc,Employed,1 - 4,1,1,2,4,1,2,5,5,0,2,2,2,0,0,4,3,1,2,5,1,4,1,5,5,5,4,5,1,5,5
Oshogbo,Male,Single,21 - 30,Secondary Sc,Employed,1 - 4,1,1,3,4,4,4,4,1,2,0,0,2,2,2,2,9,2,4,4,4,4,4,4,2,4,4,4,4,4,4
Aregbe,Female,Married,31 - 40,Secondary Sc,Self,1 - 4,1,1,5,5,5,5,5,5,0,0,2,0,2,2,5,2,2,5,2,3,2,5,5,5,5,5,3,5,2,5
AREGBE AREA,Female,Married,31 - 40,Secondary Sc,Not Employed,1 - 4,1,1,5,5,5,5,5,5,0,0,2,0,2,2,5,2,2,5,2,3,2,5,5,5,5,5,3,5,2,5
Alekuwodo Osogbo,Female,Single,21 - 30,"Bsc. MSc, PhD",Self,Greater than 9,0,1,5,4,4,5,5,5,0,1,0,2,2,0,4,2,3,4,2,2,3,5,3,5,5,5,5,5,4,4
"Fakunle area, osogbo",Male,Married,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,1,3,4,3,3,4,4,0,1,1,1,2,2,4,4,2,3,3,4,2,4,4,5,4,3,5,3,4,5
"Fakunle area, osogbo",Male,Single,21 - 30,Secondary Sc,Employed,1 - 4,1,1,3,4,4,4,4,1,2,0,0,2,2,2,2,2,2,4,4,4,4,4,2,4,4,4,4,4,4,4
Aregbe,Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,5 - 9,1,1,4,4,4,4,4,4,0,0,0,0,2,2,4,3,4,3,3,4,4,4,3,5,5,5,5,5,5,5
"Fakunle area, osogbo",Female,Married,21 - 30,Secondary Sc,Self,1 - 4,1,1,2,3,3,2,3,3,0,0,2,0,0,0,2,3,2,3,3,2,3,3,1,2,3,3,3,3,3,3
Fakunle,Male,Married,31 - 40,"Bsc. MSc, PhD",Self,5 - 9,1,1,5,2,4,2,5,4,1,0,0,0,2,2,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5
"Fakunle area, osogbo",Male,Single,21 - 30,Secondary Sc,Employed,5 - 9,1,1,3,4,4,4,4,1,2,0,0,2,2,2,2,3,2,4,4,4,4,4,2,4,3,4,4,4,4,4
"Fakunle area, osogbo",Male,Single,21 - 30,Secondary Sc,Employed,5 - 9,1,1,3,4,4,4,4,1,2,0,0,2,2,2,2,3,2,4,4,4,4,4,2,4,3,4,4,4,4,4
Mall Osogbo,Female,Married,21 - 30,Secondary Sc,Not Employed,1 - 4,0,1,4,4,4,4,4,4,0,0,0,0,2,2,5,4,4,3,3,4,3,4,4,4,4,4,4,5,4,5
"Fakunle area, osogbo",Female,Single,21 - 30,Secondary Sc,Employed,Greater than 9,1,1,3,4,4,4,4,1,2,0,0,2,2,2,2,3,2,4,4,4,4,4,2,4,3,4,4,4,4,4
"Fakunle area, osogbo",Female,Single,21 - 30,Secondary Sc,Employed,Greater than 9,1,1,3,4,4,4,4,1,2,0,0,2,2,2,2,3,2,4,4,4,4,4,2,4,3,4,4,4,4,4
Osogbo,Male,Married,41 - 50,Secondary Sc,Not Employed,1 - 4,0,1,4,4,5,5,4,4,0,2,0,2,2,2,4,3,3,3,4,4,3,3,4,3,4,4,4,4,3,4
Aregbe,Male,Single,21 - 30,"Bsc. MSc, PhD",Not Employed,1 - 4,1,1,4,5,5,5,4,1,2,2,0,0,2,2,1,1,2,4,2,4,5,5,4,4,4,4,4,4,4,4
Fakunle area OSogbo,Male,Married,31 - 40,"Bsc. MSc, PhD",Employed,5 - 9,1,1,5,4,5,4,4,5,0,0,0,0,0,0,5,4,2,5,3,4,4,4,5,5,5,5,5,5,4,5
Osogbo,Female,Married,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,1,3,4,3,3,3,3,0,1,1,0,2,2,4,4,3,4,4,5,3,4,4,5,4,3,5,3,4,5
Fakunle Area,Male,Married,31 - 40,"Bsc. MSc, PhD",Employed,5 - 9,1,1,5,4,4,4,4,4,0,0,0,0,1,0,5,4,4,3,3,5,4,4,4,4,4,4,4,4,2,4
Alekuwodo,Male,Married,31 - 40,"Bsc. MSc, PhD",Self,1 - 4,1,1,5,4,4,4,4,3,0,2,0,2,2,2,4,4,5,2,2,1,4,4,4,5,5,5,5,4,2,4
Osogbo,Female,Single,21 - 30,Secondary Sc,Employed,5 - 9,1,1,4,3,4,4,4,2,2,2,0,0,2,2,4,3,4,4,2,3,3,4,2,4,4,4,5,5,4,4
Osogbo,Female,Single,Less than 20,Secondary Sc,Employed,1 - 4,1,1,2,2,4,3,4,4,2,0,1,0,2,2,4,3,4,3,4,4,3,4,2,4,4,5,5,5,4,4
Mall,Female,Married,31 - 40,"Bsc. MSc, PhD",Employed,1 - 4,1,1,5,5,5,5,5,3,2,2,0,1,1,1,4,2,3,4,3,3,4,4,4,5,5,5,5,5,3,4
Osogbo,Male,Single,Less than 20,Secondary Sc,Employed,1 - 4,1,1,4,4,4,5,2,2,0,2,2,0,2,2,4,4,4,3,4,4,2,3,4,5,5,5,5,5,5,4
Osun Mall,Male,Single,21 - 30,Secondary Sc,Employed,1 - 4,1,1,2,4,1,2,5,5,0,0,2,2,0,0,4,3,1,2,5,1,4,1,5,5,5,4,5,1,5,5
Fakunle Osun Mall,Male,Married,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,1,3,4,3,3,4,4,0,1,1,1,0,0,4,4,2,3,3,4,2,4,4,5,4,3,5,3,4,5
Shop 2 Osun mall,Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,5 - 9,1,1,4,4,4,4,4,4,0,0,0,0,2,0,4,4,2,4,2,4,4,4,4,4,4,4,5,4,4,4
Alekuwodo Osogbo,Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,5 - 9,1,1,5,4,4,3,4,4,0,0,2,0,2,2,5,5,3,4,5,2,4,4,5,5,5,3,4,2,4,4
"Osun mall, fakunle",Female,Married,31 - 40,Secondary Sc,Not Employed,1 - 4,1,1,5,5,5,5,5,5,0,0,2,0,2,2,5,2,2,5,2,3,2,5,5,5,5,5,3,5,3,5
Offafedo area,Female,Single,21 - 30,"Bsc. MSc, PhD",Self,1 - 4,1,1,4,3,4,3,4,1,2,2,1,2,2,2,4,4,1,1,1,1,4,4,5,1,5,5,4,4,1,5
Aregbe area,Female,Single,21 - 30,"Bsc. MSc, PhD",Self,5 - 9,1,1,4,3,4,3,4,1,2,2,1,2,2,2,4,4,1,1,1,4,5,2,1,5,5,4,4,4,1,5
Akinlade junction ,Male,Married,31 - 40,"Bsc. MSc, PhD",Employed,5 - 9,1,1,5,4,5,4,4,5,0,0,0,0,2,0,5,4,3,5,3,4,4,2,5,5,5,4,4,4,4,5
"Alekunwodo, Osogbo ",Female,Single,Less than 20,Secondary Sc,Employed,1 - 4,1,1,2,2,4,3,4,4,2,0,1,0,2,2,4,3,4,3,4,4,3,4,2,4,4,5,5,5,4,4
Osogbo ,Male,Married,31 - 40,"Bsc. MSc, PhD",Self,1 - 4,1,1,5,4,4,4,4,3,0,2,0,2,2,2,4,4,5,2,2,1,9,4,4,4,5,5,5,4,2,4
Akinlade,Female,Single,21 - 30,"Bsc. MSc, PhD",Self,1 - 4,1,1,5,4,4,2,4,5,0,0,0,2,2,0,5,2,2,4,2,4,4,5,5,4,4,5,5,4,4,4
"Osun mall, Osogbo ",Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,5 - 9,1,1,4,4,4,4,4,4,0,0,0,0,2,2,4,3,4,3,3,4,4,4,3,5,5,5,5,5,5,5
"Aregbe, Osogbo ",Male,Married,41 - 50,"Bsc. MSc, PhD",Self,1 - 4,1,1,4,4,5,5,5,4,0,0,0,0,0,0,4,2,1,2,2,4,4,4,4,5,5,5,5,1,5,5
"Fakunle, Osogbo ",Female,Single,Less than 20,Secondary Sc,Employed,1 - 4,1,1,4,3,4,4,3,4,2,0,0,1,0,0,4,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2
"Mall area, around Fakunle",Male,Married,41 - 50,"Bsc. MSc, PhD",Self,1 - 4,1,1,4,4,5,5,5,4,0,0,0,2,0,2,4,2,1,2,2,4,4,4,4,5,5,5,5,2,5,4
Osogbo ,Female,Single,21 - 30,"Bsc. MSc, PhD",Self,1 - 4,1,1,3,4,4,4,4,4,0,0,0,2,2,2,5,4,1,4,1,1,4,5,4,4,5,4,4,5,4,4
"Oshogbo, Aregbe",Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,1,3,2,3,3,3,3,0,0,2,2,2,2,4,4,2,2,4,2,3,4,4,4,4,4,4,4,3,4
" Oshogbo Area, Offatedo",Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,5 - 9,1,1,4,4,4,4,4,4,0,0,0,0,2,0,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4
 Oshogbo,Male,Married,31 - 40,"Bsc. MSc, PhD",Employed,5 - 9,1,1,5,4,4,4,4,4,0,0,0,0,1,0,5,4,4,3,3,5,4,4,4,4,4,4,4,4,3,4
 Oshogbo,Male,Single,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,1,4,5,4,4,4,5,0,0,0,0,2,0,4,4,2,4,3,3,4,4,4,4,4,4,5,3,4,4
Aregbe,Female,Married,31 - 40,"Bsc. MSc, PhD",Employed,1 - 4,1,1,5,5,5,5,5,3,2,2,0,1,1,1,4,2,3,4,3,3,4,4,4,5,5,5,5,5,3,4
" Oshogbo, Aekuwodo",Female,Single,21 - 30,Secondary Sc,Employed,5 - 9,1,1,4,3,4,4,4,2,2,2,0,0,2,2,4,3,4,4,2,3,3,4,2,4,4,4,5,5,4,4
 Oshogbo,Male,Single,21 - 30,"Bsc. MSc, PhD",Not Employed,1 - 4,1,1,4,5,5,5,4,1,2,2,0,0,2,2,1,1,2,4,2,4,5,5,4,4,4,4,4,4,4,4
 Oshogbo,Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,1,5,4,4,2,4,5,0,0,0,2,2,2,5,2,2,2,4,2,2,4,2,4,4,5,5,5,5,4
Fakunle Area  Oshogbo,Male,Single,21 - 30,"Bsc. MSc, PhD",Not Employed,1 - 4,1,1,4,5,5,5,4,1,2,2,0,0,2,2,1,1,2,4,2,4,5,5,4,4,4,4,4,4,4,4
Osun Mall,Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,1,5,4,4,2,4,5,0,0,0,2,2,0,5,2,2,4,2,4,4,5,5,5,5,5,5,5,4,4
Alekuwodo,Female,Married,31 - 40,"Bsc. MSc, PhD",Employed,5 - 9,1,1,5,4,5,4,5,5,0,0,1,0,1,1,4,4,1,5,1,4,2,5,5,4,5,5,5,5,5,5
Aregbe,Female,Single,21 - 30,Secondary Sc,Employed,1 - 4,1,1,4,5,4,4,4,5,0,0,0,0,2,2,5,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4
Aregbe,Female,Single,21 - 30,Secondary Sc,Self,1 - 4,1,1,3,4,4,4,4,4,0,0,0,2,2,2,5,4,1,4,1,1,1,4,5,4,4,5,4,4,5,4
Osogbo,Male,Married,31 - 40,"Bsc. MSc, PhD",Self,5 - 9,1,1,5,2,9,2,5,4,1,0,0,0,2,2,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5
Fakunle Area,Male,Married,31 - 40,Secondary Sc,Not Employed,1 - 4,0,1,4,4,5,5,3,3,0,2,0,0,2,2,4,4,3,4,4,3,4,5,4,3,4,5,4,4,3,4
Osogbo,Female,Single,Less than 20,Secondary Sc,Employed,1 - 4,1,1,3,4,3,4,4,4,2,2,0,0,2,2,4,4,5,4,1,4,2,4,4,4,4,4,4,4,4,4
Osun Mall,Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,1,5,5,5,5,5,5,0,0,0,2,2,2,5,4,1,5,1,1,2,5,5,5,5,5,5,4,1,5
Osogbo,Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,1,5,4,3,4,4,9,0,2,2,2,2,2,9,4,5,5,4,1,3,4,2,4,5,5,4,1,5,4
Osogbo,Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,1,4,4,4,4,4,4,0,0,0,0,2,2,4,4,2,4,4,4,4,4,4,4,4,4,5,5,2,4
Aregbe Area,Male,Married,41 - 50,"Bsc. MSc, PhD",Employed,1 - 4,1,1,5,5,5,4,4,4,2,2,0,0,0,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
Osogbo,Female,Single,Less than 20,Secondary Sc,Employed,1 - 4,1,1,3,2,3,4,4,4,0,2,2,0,2,2,4,4,4,4,1,4,4,2,4,4,4,4,3,3,4,4
Aregbe,Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,1,4,4,4,4,4,4,0,2,0,0,2,2,5,4,1,5,1,1,2,5,5,5,5,5,5,4,1,5
osogbo,Female,Single,21 - 30,Secondary Sc,Employed,1 - 4,1,1,5,4,3,4,4,3,0,0,2,2,2,0,4,4,5,5,4,1,3,3,2,4,5,5,4,1,5,4
osogbo,Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,1,4,4,4,4,4,4,0,0,0,0,0,2,4,4,2,4,4,4,4,4,4,4,4,2,4,4,5,5
osogbo,Male,Married,41 - 50,"Bsc. MSc, PhD",Employed,1 - 4,1,1,5,5,5,4,4,4,2,2,0,0,0,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
Osogbo,Female,Single,Less than 20,Secondary Sc,Employed,5 - 9,1,1,4,4,4,4,5,4,0,2,0,0,0,2,4,4,2,2,2,5,4,4,3,4,4,4,4,3,4,4
"Alekuwodo, osogbo",Male,Married,31 - 40,"Bsc. MSc, PhD",Employed,1 - 4,1,1,5,5,5,5,5,4,0,0,0,0,2,2,5,5,4,4,4,3,4,4,4,5,4,4,4,5,5,5
"Fakule, osogbo",Female,Married,31 - 40,"Bsc. MSc, PhD",Self,5 - 9,1,1,5,4,5,4,5,5,0,0,0,0,0,0,4,5,4,4,2,2,4,5,1,4,4,4,4,4,4,4
"Osun mall, osogbo",Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,1,4,3,4,4,4,4,0,0,2,2,2,2,4,4,2,2,4,2,3,4,4,4,4,4,4,4,2,4
Osogbo,Female,Married,31 - 40,"Bsc. MSc, PhD",Self,5 - 9,1,1,5,4,5,4,5,5,0,0,0,0,0,0,4,5,4,4,2,2,4,5,1,4,5,5,5,5,5,5
Osogbo,Male,Married,31 - 40,"Bsc. MSc, PhD",Employed,1 - 4,1,1,5,5,5,9,5,4,0,0,0,0,2,2,5,5,4,4,4,3,4,4,4,5,4,4,4,5,5,5
"Alekuwodo,Osogbo",Female,Single,21 - 30,"Bsc. MSc, PhD",Self,5 - 9,1,1,5,4,4,4,5,4,1,2,0,2,0,0,5,3,1,4,2,3,2,4,2,5,5,5,5,4,3,3
Osogbo,Male,Single,21 - 30,Secondary Sc,Employed,1 - 4,1,1,4,4,4,5,2,2,0,2,2,0,2,2,4,4,4,3,4,4,2,3,4,5,5,5,5,5,4,4
"Akinlade, Osogbo",Female,Single,21 - 30,"Bsc. MSc, PhD",Self,5 - 9,1,1,5,4,4,4,5,4,1,2,0,2,0,0,5,5,2,3,2,4,4,4,4,5,4,4,4,4,1,5
Osogbo,Male,Single,21 - 30,Secondary Sc,Self,1 - 4,1,1,4,5,4,4,5,2,0,2,0,0,2,2,4,4,1,3,4,4,5,4,4,4,4,3,4,4,4,4
"Fakunle,Osogbo",Female,Married,31 - 40,Secondary Sc,Employed,5 - 9,1,1,5,4,5,5,4,3,0,0,2,0,0,0,5,2,2,5,2,3,3,5,5,4,5,4,5,5,4,4
"Aregbe area,Osogbo",Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,5 - 9,1,1,5,4,4,3,4,4,0,0,2,0,2,2,5,5,2,3,4,2,4,4,4,5,5,5,3,4,2,4
"JUSTRITE PHARMACY, OSOGBO",Male,Single,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,1,4,5,4,4,4,5,0,0,0,0,2,0,4,4,2,4,3,3,4,4,4,4,4,4,5,3,4,4
Aregbe,Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,5 - 9,1,1,5,4,4,3,4,4,0,0,2,0,2,2,4,4,2,4,3,4,2,4,4,5,4,3,5,3,4,5
Offatedo (Osogbo),Male,Married,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,1,5,4,4,3,2,2,0,0,2,0,2,2,2,3,3,4,4,4,2,2,2,3,2,9,2,4,4,4
Filmhouse Osogbo,Male,Single,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,1,5,4,4,4,4,4,0,0,0,0,1,0,4,4,4,4,3,2,2,4,3,4,4,4,5,2,3,2
FAKUNLE,Female,Married,21 - 30,Secondary Sc,Not Employed,1 - 4,1,1,4,4,4,4,4,4,0,0,0,0,2,2,5,4,4,3,3,4,3,4,4,4,4,4,4,5,4,5
"Alekuwodo, Osogbo",Female,Single,21 - 30,"Bsc. MSc, PhD",Self,5 - 9,1,1,4,3,4,3,4,1,2,2,1,2,2,2,4,4,1,1,1,4,5,3,2,1,5,5,4,4,1,5
Alekuwodo,Female,Single,21 - 30,"Bsc. MSc, PhD",Employed,5 - 9,1,1,4,4,4,4,4,4,0,0,0,0,2,2,4,3,4,3,3,4,4,4,3,5,5,5,5,5,5,5
Aragbe,Male,Married,41 - 50,"Bsc. MSc, PhD",Self,1 - 4,1,1,4,4,5,5,5,4,0,0,0,0,0,0,4,2,1,2,2,4,4,4,4,5,5,5,5,1,5,5
Osogbo,Female,Single,Less than 20,Secondary Sc,Employed,1 - 4,1,1,4,1,4,4,1,4,0,1,1,0,0,1,4,2,2,2,2,4,4,4,4,4,4,4,2,2,2,4
Fakunle,Male,Single,21 - 30,"Bsc. MSc, PhD",Employed,1 - 4,1,1,5,4,4,4,4,4,0,0,0,0,1,0,4,4,4,4,3,2,2,4,3,4,4,4,5,2,3,2
Osun Mall,Female,Married,31 - 40,"Bsc. MSc, PhD",Employed,5 - 9,1,1,5,4,5,4,5,5,0,0,1,0,1,1,4,4,1,5,1,5,2,5,5,4,5,5,5,5,5,5
